
MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2013-4-11,53,37,21,34,26,18,93,69,33,29.90,29.78,29.71,10,10,7,13,3,17,0.00,1,Rain,46<br />
2013-4-12,57,46,35,34,30,21,87,62,26,29.98,29.91,29.85,10,10,10,22,3,32,0.00,4,,79<br />
2013-4-13,37,34,32,32,32,32,100,92,81,29.94,29.89,29.83,10,10,10,5,1,,0.00,0,,320<br />
2013-4-15,30,26,23,28,25,23,100,94,80,30.00,29.89,29.81,4,1,0,7,3,,0.23,8,Snow,23<br />
2013-4-16,33,28,23,30,26,23,100,91,80,30.00,29.91,29.83,10,7,2,16,3,20,0.10,7,Snow,340<br />
2013-4-17,32,28,23,30,26,18,100,90,74,30.14,29.97,29.92,10,4,0,17,8,24,0.11,8,Snow,9<br />
2013-4-18,33,26,19,18,13,10,74,47,41,30.13,30.08,30.06,10,10,10,7,3,,0.02,0,,152<br />
2013-4-19,53,40,28,27,17,12,64,40,24,30.09,30.01,29.93,10,10,10,21,5,31,0.00,0,,245<br />
2013-4-20,57,45,33,32,28,21,81,54,31,30.02,29.93,29.89,10,10,10,10,4,16,0.00,0,,359<br />
2013-4-21,60,46,33,32,24,12,87,44,15,30.07,30.01,29.97,10,10,10,20,4,30,0.00,0,,261<br />
2013-4-22,50,36,23,34,28,23,100,78,40,30.30,30.09,29.88,10,5,0,20,5,25,0.10,5,Rain-Snow-Thunderstorm,28<br />
2013-4-23,32,26,21,23,18,10,100,72,41,30.25,30.18,30.11,10,6,0,8,3,,0.33,4,Snow,73<br />
2013-4-24,53,38,24,27,17,9,74,45,16,30.20,30.14,30.10,10,10,10,10,3,,0.00,0,,311<br />
2013-4-25,64,47,30,30,21,14,69,39,14,30.16,30.03,29.91,10,10,10,13,3,,0.00,0,,345<br />
2013-4-26,66,54,41,27,18,10,57,26,12,30.24,30.15,30.01,10,10,10,10,6,,0.00,0,,208<br />
2013-4-27,73,57,41,28,15,10,57,20,9,30.22,30.13,30.04,10,10,10,14,5,21,0.00,0,,265<br />
2013-4-28,77,64,50,28,19,12,32,17,11,30.04,29.95,29.86,10,10,10,17,7,26,0.00,0,,245<br />
2013-4-29,77,64,50,34,24,14,54,24,9,29.95,29.77,29.62,10,10,10,17,7,30,0.00,0,,212<br />
2013-4-30,68,50,33,37,32,18,100,52,15,30.04,29.81,29.63,10,9,3,23,6,31,0.18,2,Rain,59<br />
2013-5-1,35,30,26,34,29,23,100,95,86,30.60,30.34,30.04,10,2,0,16,5,20,0.05,8,Rain-Snow,4<br />
2013-5-2,42,32,21,25,19,12,86,58,31,30.66,30.57,30.41,10,10,10,9,4,,0.00,1,,275<br />
2013-5-3,59,44,30,32,26,21,80,51,26,30.41,30.21,30.09,10,10,10,10,1,,0.00,0,,61<br />
2013-5-4,55,45,35,32,28,21,81,49,31,30.24,30.15,30.10,10,10,10,9,3,,0.00,1,,52<br />
2013-5-5,55,45,35,37,27,21,71,50,30,30.23,30.16,30.10,10,10,10,12,3,16,0.00,0,Rain,338<br />
2013-5-6,64,52,41,34,31,28,76,47,27,30.10,30.01,29.93,10,10,10,7,3,,0.00,0,,346<br />
2013-5-7,69,56,44,45,37,30,82,55,23,30.04,29.95,29.89,10,10,5,16,2,23,0.01,1,Rain-Thunderstorm,332<br />
2013-5-8,60,53,46,46,39,32,100,67,39,30.12,30.02,29.97,10,9,2,18,7,23,0.00,5,Rain-Thunderstorm,272<br />
2013-5-9,59,52,46,45,40,34,87,70,42,30.22,30.16,30.09,10,10,7,17,4,25,0.00,6,Rain-Thunderstorm,269<br />
2013-5-10,64,52,41,39,35,30,87,51,28,30.33,30.23,30.19,10,10,10,13,3,16,0.00,3,Rain-Thunderstorm,279<br />
2013-5-11,66,55,44,41,35,32,66,46,28,30.42,30.34,30.23,10,10,10,14,5,21,0.00,3,Rain-Thunderstorm,133<br />
2013-5-12,77,64,50,37,32,28,58,30,17,30.25,30.19,30.12,10,10,10,12,3,,0.00,2,,115<br />
2013-5-13,84,72,59,41,33,28,39,24,15,30.20,30.13,30.06,10,10,10,12,5,,0.00,0,,100<br />
2013-5-14,84,73,62,37,32,27,32,22,14,30.06,30.01,29.95,10,10,10,32,7,51,0.00,1,Rain,223<br />
2013-5-15,78,66,55,50,38,30,77,38,21,30.02,29.97,29.91,10,10,7,24,6,41,0.00,2,Rain-Thunderstorm,342<br />
2013-5-16,80,66,51,50,40,28,82,45,15,29.98,29.89,29.82,10,10,10,17,3,31,0.00,1,,257<br />
2013-5-17,84,68,53,45,33,12,67,32,9,29.92,29.85,29.76,10,10,10,14,3,22,0.00,0,,13<br />
2013-5-18,75,64,53,36,27,12,51,24,11,29.92,29.85,29.79,10,10,10,17,7,30,0.00,1,,190<br />
2013-5-19,69,60,51,36,27,19,51,30,17,29.87,29.82,29.76,10,10,10,21,8,28,0.00,2,Thunderstorm,275<br />
2013-5-20,62,54,46,46,39,30,93,55,37,30.04,29.93,29.85,10,10,10,10,4,10,0.00,5,Rain,136<br />
2013-5-21,68,54,41,41,32,27,87,47,23,30.06,29.98,29.88,10,10,10,13,3,20,0.00,3,,38<br />
2013-5-22,73,58,42,52,36,30,88,48,20,30.10,29.97,29.90,10,10,7,17,3,25,0.00,2,Rain-Thunderstorm,40<br />
2013-5-23,68,58,48,48,46,45,87,69,43,30.13,30.08,29.97,10,10,7,10,4,,0.00,6,,360<br />
2013-5-24,82,66,50,52,40,28,82,39,15,30.03,29.98,29.93,10,10,10,9,4,,0.00,1,,340<br />
2013-5-25,86,70,53,50,35,18,63,32,8,30.03,29.96,29.88,10,10,10,8,4,,0.00,0,,298<br />
2013-5-26,84,70,55,36,25,10,38,19,7,29.96,29.92,29.88,10,10,10,18,5,30,0.00,0,Thunderstorm,202<br />
2013-5-27,82,66,50,36,23,10,47,19,7,29.89,29.83,29.76,10,10,10,16,5,26,0.00,0,Thunderstorm,270<br />
2013-5-28,78,64,50,43,34,23,54,35,13,29.86,29.73,29.58,10,10,10,10,3,20,0.00,0,Thunderstorm,351<br />
2013-5-29,68,57,46,50,40,27,94,60,24,29.73,29.69,29.62,10,10,0,28,5,39,0.40,3,Rain-Thunderstorm,329<br />
2013-5-30,69,58,48,34,25,14,54,30,12,29.88,29.74,29.68,10,10,10,23,6,48,0.00,1,,270<br />
2013-5-31,69,58,46,28,14,5,50,18,9,30.04,29.91,29.86,10,10,10,32,10,40,0.00,0,,286<br />
2013-6-1,68,56,44,37,33,18,71,41,19,30.24,30.17,30.04,10,10,10,15,5,20,0.00,4,,89<br />
2013-6-2,82,63,44,37,31,23,66,33,11,30.24,30.02,29.84,10,10,7,14,2,20,0.00,0,,132<br />
2013-6-3,89,71,53,41,26,18,44,20,7,29.97,29.82,29.77,10,10,10,29,7,38,0.00,0,,264<br />
2013-6-4,69,60,50,48,41,23,87,51,19,30.25,30.07,29.96,10,10,5,20,2,31,0.08,5,Rain-Thunderstorm,4<br />
2013-6-5,59,52,44,46,45,43,100,79,59,30.26,30.21,30.15,10,9,3,7,2,,0.01,7,Rain,117<br />
2013-6-6,77,60,44,45,39,30,100,50,18,30.16,30.11,30.06,10,10,7,7,2,,0.00,2,Rain-Thunderstorm,70<br />
2013-6-7,80,65,50,43,38,36,71,39,20,30.15,30.01,29.83,10,10,10,13,2,22,0.00,1,,159<br />
2013-6-8,77,68,59,46,38,30,52,34,20,30.08,29.93,29.78,10,10,10,16,6,29,0.00,2,,164<br />
2013-6-9,87,68,48,43,36,28,76,34,12,30.08,30.02,29.95,10,10,10,9,2,,0.00,0,,115<br />
2013-6-10,96,78,60,46,33,21,38,20,8,30.00,29.93,29.88,10,10,10,14,5,18,0.00,0,,176<br />
2013-6-11,98,78,57,43,24,-2,48,17,4,30.00,29.90,29.80,10,10,10,25,6,37,0.00,0,,285<br />
2013-6-12,91,75,59,50,30,18,49,20,10,30.18,30.11,30.03,10,10,7,20,4,31,0.00,0,,72<br />
2013-6-13,82,68,55,61,52,46,88,62,32,30.18,30.08,29.94,10,10,7,12,5,26,0.02,2,Rain-Thunderstorm,359<br />
2013-6-14,89,74,59,52,40,27,72,34,10,30.04,29.97,29.92,10,10,10,15,4,25,0.00,0,Rain,101<br />
2013-6-15,80,68,57,46,43,41,63,40,24,30.14,30.08,30.01,10,10,4,7,3,,0.00,0,,50<br />
2013-6-16,82,68,55,54,41,25,82,41,12,30.20,30.12,30.07,10,10,7,21,4,33,0.00,0,Thunderstorm,268<br />
2013-6-17,78,66,53,54,43,36,68,44,21,30.22,30.15,30.07,10,10,10,14,4,20,0.01,0,Rain-Thunderstorm,355<br />
2013-6-18,84,68,53,52,47,37,88,52,19,30.19,30.07,29.91,10,10,7,10,3,17,0.02,1,Rain-Thunderstorm,40<br />
2013-6-19,95,75,55,50,37,12,77,37,5,30.04,29.86,29.70,10,10,10,12,4,16,0.00,0,,341<br />
2013-6-20,87,73,59,45,28,10,55,21,8,29.98,29.90,29.80,10,10,10,15,5,18,0.00,0,,150<br />
2013-6-21,91,76,60,52,35,16,44,26,7,29.97,29.91,29.82,10,10,10,10,3,28,0.00,0,,217<br />
2013-6-22,87,73,59,48,41,23,59,38,10,30.01,29.94,29.79,10,10,7,10,2,20,0.00,0,Rain-Thunderstorm,344<br />
2013-6-23,82,68,53,48,40,32,63,39,17,30.09,29.98,29.87,10,10,10,12,3,22,0.00,1,Thunderstorm,85<br />
2013-6-24,89,74,59,45,34,14,59,27,9,29.97,29.87,29.79,10,10,10,16,5,25,0.00,0,,181<br />
2013-6-25,91,80,68,37,26,19,27,15,10,30.07,29.94,29.85,10,10,10,21,8,30,0.00,0,,253<br />
2013-6-26,96,78,59,45,33,28,59,20,9,30.14,30.09,30.05,10,10,10,8,4,,0.00,0,,179<br />
2013-6-27,96,80,64,41,34,28,34,18,9,30.30,30.22,30.12,10,10,10,14,4,18,0.00,0,,89<br />
2013-6-28,91,75,59,61,47,37,82,39,21,30.33,30.26,30.18,10,10,3,18,3,26,0.46,1,Rain-Thunderstorm,320<br />
2013-6-29,82,71,60,55,51,43,82,51,25,30.29,30.24,30.15,10,10,10,9,4,,0.00,1,Rain-Thunderstorm,327<br />
2013-6-30,78,70,62,59,52,46,73,57,32,30.26,30.23,30.20,10,10,10,9,4,,0.00,2,Rain-Thunderstorm,344<br />
2013-7-1,78,68,59,54,49,45,77,52,32,30.35,30.29,30.24,10,10,10,12,3,,0.00,1,Thunderstorm,9<br />
2013-7-2,82,68,55,52,46,39,82,47,21,30.32,30.24,30.17,10,10,10,8,2,17,0.00,0,,65<br />
2013-7-3,87,72,57,50,42,34,77,36,15,30.17,30.06,29.97,10,10,10,14,4,17,0.00,0,,195<br />
2013-7-4,89,76,62,52,40,36,49,28,15,30.05,30.00,29.96,10,10,10,18,5,24,0.00,1,,233<br />
2013-7-5,86,75,64,54,46,37,59,38,22,29.98,29.94,29.90,10,10,10,17,3,26,0.00,2,Rain-Thunderstorm,338<br />
2013-7-6,91,78,64,54,44,32,68,32,13,30.04,29.98,29.90,10,10,10,21,7,37,0.00,2,Rain-Thunderstorm,243<br />
2013-7-7,89,76,64,55,47,41,60,37,19,30.13,30.07,30.02,10,10,10,13,5,21,0.00,1,Thunderstorm,74<br />
2013-7-8,95,78,62,55,44,28,77,35,9,30.16,30.11,30.07,10,10,10,23,5,33,0.00,0,Thunderstorm,343<br />
2013-7-9,96,82,68,50,38,30,46,24,10,30.27,30.19,30.16,10,10,10,10,3,18,0.00,0,,97<br />
2013-7-10,91,76,62,54,46,36,60,36,14,30.30,30.20,30.07,10,10,10,16,4,,0.00,0,,81<br />
2013-7-11,98,81,64,55,46,32,73,36,10,30.16,30.04,29.90,10,10,7,23,3,41,0.00,1,Rain-Thunderstorm,139<br />
2013-7-12,91,78,66,63,50,41,83,43,17,30.14,30.05,29.97,10,10,7,25,6,36,0.09,2,Rain-Thunderstorm,246<br />
2013-7-13,87,76,64,61,56,48,83,61,25,30.25,30.15,30.10,10,10,10,21,4,30,0.02,2,Rain-Thunderstorm,227<br />
2013-7-14,78,68,59,61,55,50,88,62,39,30.30,30.22,30.14,10,10,10,10,4,,0.00,2,Thunderstorm,354<br />
2013-7-15,78,71,62,63,58,50,94,67,44,30.25,30.21,30.15,10,8,3,13,3,22,0.00,5,Rain-Thunderstorm,101<br />
2013-7-16,86,70,55,54,46,39,94,48,19,30.26,30.20,30.17,10,10,10,10,2,18,0.00,0,,79<br />
2013-7-17,87,73,59,54,48,43,72,43,21,30.29,30.22,30.14,10,10,10,6,2,,0.00,0,,21<br />
2013-7-18,91,76,62,54,48,41,68,41,18,30.22,30.17,30.13,10,10,10,21,3,28,0.00,2,Rain-Thunderstorm,350<br />
2013-7-19,82,73,64,57,51,43,73,47,26,30.24,30.20,30.13,10,10,10,14,4,17,0.00,3,Rain-Thunderstorm,80<br />
2013-7-20,89,74,59,55,49,43,77,47,22,30.14,30.07,30.01,10,10,10,23,3,36,0.00,1,Rain,14<br />
2013-7-21,87,72,57,54,49,25,88,48,14,30.06,29.99,29.93,10,10,10,12,3,18,0.00,0,,209<br />
2013-7-22,93,78,64,52,44,28,56,31,15,30.06,30.01,29.93,10,10,10,13,3,17,0.00,0,,69<br />
2013-7-23,89,76,62,54,42,25,56,31,14,30.22,30.10,30.00,10,10,7,10,3,,0.00,0,,9<br />
2013-7-24,80,71,60,55,50,37,73,47,23,30.27,30.18,30.08,10,10,10,26,4,40,0.00,1,Thunderstorm,340<br />
2013-7-25,77,68,59,59,53,48,94,67,38,30.31,30.21,30.12,10,10,2,15,4,20,0.43,4,Rain-Thunderstorm,304<br />
2013-7-26,82,70,59,54,47,37,77,47,23,30.34,30.28,30.18,10,10,4,15,3,21,0.00,1,,216<br />
2013-7-27,77,65,53,61,52,46,94,65,39,30.21,30.14,30.09,10,10,3,10,2,,0.09,3,Rain-Thunderstorm,44<br />
2013-7-28,71,65,59,61,58,52,100,84,50,30.14,30.04,29.97,10,7,2,7,3,,0.04,5,Rain,55<br />
